array-size,aocl-bolama-contig,aocl-bolama-strided,sdaccel-bolama-contig,sdaccel-bolama-strided,cpu-bolama-contig,cpu-bolama-strided,gpu-kanton-contig,gpu-kanton-strided,aocl-bolama-peak,sdaccel-bolama-peak,cpu-bolama-peak,gpu-kanton-peak
0.000976563,0.036621094,0.060839844,0.031347656,0.006738281,0.054492188,0.048632813,0.14453125,0.127539063,25,20,34,336
0.00390625,0.136914063,0.179589844,0.090234375,0.008203125,0.192382813,0.162402344,0.950097656,0.628125,25,20,34,336
0.015625,0.630566406,0.37265625,0.207324219,0.008496094,0.71953125,0.411914063,3.706640625,2.452050781,25,20,34,336
0.0625,1.141113281,0.676660156,0.351953125,0.008691406,2.519921875,0.766894531,14.74072266,7.578417969,25,20,34,336
0.25,2.026757813,0.775488281,0.529589844,0.008691406,7.4375,3.938671875,50.12558594,18.15048828,25,20,34,336
1,2.228125,1.738574219,0.638183594,0.008691406,18.15654297,5.58359375,112.7911133,26.59423828,25,20,34,336
4,2.381054688,0.491015625,0.704394531,0.008691406,27.04033203,5.32421875,173.71875,29.37919922,25,20,34,336
16,2.530273438,0.411914063,0.743066406,0.008691406,25.24130859,0.773535156,204.5222656,29.52900391,25,20,34,336
64,2.447460938,0.312597656,0.7609375,0.008691406,25.10117188,0.836132813,203.8714844,27.32080078,25,20,34,336
256,,,,,26.66435547,0.732324219,216.3978516,9.949511719,25,20,34,336
1024,,,,,26.74521484,0.763183594,220.134668,6.705859375,25,20,34,336
